입력하중,PIPE 길이,PIPE 직경,용접길이,A11,A12,A21,A22,D1,D2,Location,vonMises
100,300,45,25,0,0,0,0,40,68,PIPE,262.9
100,300,45,25,40,0,0,0,40,68,PIPE,288.6
100,300,45,25,0,40,0,0,40,68,PIPE,267.6
100,300,45,25,0,0,-40,0,40,68,PIPE,350.8
100,300,45,25,0,0,0,-40,40,68,PIPE,233.5
100,300,45,25,0,0,-89,0,40,68,PIPE,361.6
100,300,45,25,0,0,-89,0,20,50,PIPE,242.8
100,300,45,25,40,40,0,0,40,68,PIPE,281.4
100,300,45,25,40,0,-40,0,40,68,PIPE,371.4
100,300,45,25,40,0,0,-40,40,68,PIPE,248.5
100,300,45,25,0,40,-40,0,40,68,PIPE,350.8
100,300,45,25,0,40,0,-40,40,68,PIPE,212.2
100,300,45,25,0,0,-40,-40,40,68,PIPE,293.0
100,300,45,25,40,40,-40,-40,40,68,PIPE,292.2
100,300,45,25,-10,0,0,0,40,68,PIPE,264.8
100,300,45,25,60,0,0,0,40,68,PIPE,288.7
100,300,45,25,0,60,0,0,40,68,PIPE,255.9
100,300,45,25,0,-20,0,0,40,68,PIPE,244.2
100,300,45,25,0,0,0,-90,40,68,Hrod,107.4
100,300,45,25,0,0,0,40,40,68,PIPE,208.9
100,300,45,25,20,20,-20,-20,40,68,PIPE,286.9
100,300,45,25,0,0,0,-60,40,68,PIPE,179.2
100,300,45,25,60,60,0,-60,40,68,PIPE,177.7
100,300,45,25,20,0,0,-60,40,68,PIPE,185.8
100,300,45,25,0,20,0,-60,40,68,PIPE,182.9
100,300,45,25,0,0,5,-80,40,68,PIPE,124.9
100,300,45,25,0,0,0,60,40,68,PIPE,145.817
100,300,45,25,0,0,0,90,40,68,Hrod,63.605
